title,description,lat,lng,mile_nobo
Campo,"Campo is a small town on the PCT with a small store [Campo Green Store; facebook.com/GreenCampoStore/ 619-478-5494], weekday sdmts.com bus service, and a Post Office [619-478-5466]. 
-----
Campo Post Office [open M-F 8:30-11:30 & 12:30-4:30, Sa 9:30-12]:
(Your Name)
c/o General Delivery
Campo, CA 91906",32.6526051,-116.4716494,1.38915437638634
Campo Green Store,"Campo Green Store [2/10 mile E] [facebook.com/GreenCampoStore/ 619-478-5494], is a small store in Campo, 2/10 mile E of PCT on Hwy 94.",32.6084541,-116.4744577,2.331
Mount Laguna,"Mount Laguna [4/10 mi W] has a lodge [Lagunamountain.com 619-473-8533 or 619-473-8630] with a store, restaurant, ATM, and nearby Post Office [619-473-8341], 4/10 mile W of PCT.
-----
Mount Laguna Post Office [M-F 12-4, Sa 9-11]:
(Your Name)
c/o General Delivery
Mount Laguna, CA 91948
-----
The Laguna Mountain Lodge and store accepts resupply packages [$10] sent by UPS or USPS. Include Name, ETA, and Phone # on your package. 
Laguna Mountain Lodge USPS Address:
(Your Name)
c/o Laguna Mountain Lodge
PO Box 146
Mount Laguna, CA 91948
---
Laguna Mountain Lodge UPS Address:
(Your Name)
c/o Laguna Mountain Lodge
10678 Sunrise Hwy
Mount Laguna, CA 91948
-----
Mount Laguna is a common PCT resupply stop. Resupply shopping rating: C, but for a lighter carry, I often ship a box to the Laguna Mountain Lodge. -HM",32.8711232,-116.4242566,41.46826
Julian,"Julian [12 mi W] is a small hiker-friendly town with restaurants, motels, small grocery store, good outfitter [2footadventures.com 678-944-8639], Post Office [760-765-3648], and occasional sdmts.com bus service. 12 miles W of the PCT on Hwy 78.
-----
Julian Post Office [M-F 9-4, Sa 10-12]:
(Your Name)
c/o General Delivery
Julian, CA 92036
-----
Julian is a common PCT resupply stop. Resupply shopping rating: B",33.0739633,-116.5878464,77.3176
Warner Springs,"Warner Springs [1.2 mi E] is a very small community with a hiker-friendly community resource center, hot spring resort, golf course, restaurant, gas station mini-mart, Post Office [760-782-3166], and occasional sdmts.com bus service. 1.2 miles E of the PCT on Hwy 79.
-----
The Warner Springs Ranch Resort [warnerspringsranchresort.com 760-782-4200] has reopened following bankruptcy several years ago. The resort has new owners, see web site for the latest updates.
-----
The Warner Springs Community Resource Center [WSCRCenter.org 760-782-0670], about 100 yards E of the PCT at the first crossing of Highway 79, has been very hiker-friendly the past few years offering water, food, a small but surprisingly well stocked hiker resupply store, camping, computer use, WiFi, and charging stations.
-----
Warner Springs Post Office [M-F 8-11 & 11:30-4, Sa 8-1:30]: 
(Your Name)
c/o General Delivery
Warner Springs, CA 92086
-----
Warner Springs is a very common PCT resupply stop. Resupply shopping rating: C- if the Community Resource Center hiker resupply store is open, but it's only 69.9 miles to Idyllwild, so you will not need that much. If the Community Resource Center is not open, send a box to the PO.",33.2822596,-116.6336303,109.4963
Anza,"Anza [6.8 miles SW] is a small town with restaurants, small grocery store, pharmacy, Post Office [951-763-2074], and ATM. 1 mile W of PCT on Hwy 74, then 5.8 miles SW of the Paradise Valley Cafe on Hwy 371.
-----
Anza Post Office [open M-F 9-4, Sa 10-1]:
(Your Name)
c/o General Delivery
Anza, CA 92539",33.576384,-116.6978609,151.85992
Idyllwild,"Idyllwild [5.2 mi W] is a hiker-friendly town with restaurants, motels, a state park campground w/ showers, grocery store, natural food store, pharmacy, good outfitter [nomadventures.com 951-659-4853], Post Office [951-659-1969], laundry, ATM, and library. Idyllwild is accessible by hiking 2.6 miles SW on the Devils Slide Trail, then 2.6 miles SW on paved Fern Valley Road, S Circle Drive, N Circle Drive.
-----
Idyllwild Post Office [open M-F 9-5, Sa pick up only 1:30-3]:
(Your Name) 
c/o General Delivery
Idyllwild, CA 92549
-----
Idyllwild is a very common PCT resupply stop. Resupply shopping rating: B+",33.7402774,-116.718942,179.39394
Cabazon,"Cabazon [4.5 mi W] is a small community with a small store, ATM, and Post Office [951-849-6233]. 4.5 miles W of the PCT on the service road just S of Hwy 10 [between the Interstate and the railroad tracks]. Tamarack Road [N of Hwy 10] does not go to Cabazon.
-----
Cabazon Post Office [open M-F 8:30-11:30 & 12:45-5]:
(Your Name) 
c/o General Delivery
Cabazon, CA 92230
-----
Morongo Casino, Resort & Spa [www.morongocasinoresort.com] is about 8 miles W of the PCT. An outlet mall is near the casino. The town of Palm Springs, CA is 16 miles E. Hitching will be very difficult at this busy intestate highway. Historically most hikers did not resupply here, but Uber and Lyft now service this area.",33.9090305,-116.7795345,209.4760423
Big Bear Lake,"Big Bear Lake [9 mi SW] is a large town with restaurants, motels, the hiker-friendly Big Bear Hostel [bigbearhostel.com], large grocery stores [Stater Bros, Vons], Dollar Tree, pharmacy [CVS, Walgreens], Post Office [909-866-1035], hospital [bearvalleycommunityhospital.com 909-866-6501], ATMs, and bus service [mountaintransit.org  909-878-5200]. The Big 5 Sporting Goods [909-866-2730] usually sells fuel canisters. The town of Big Bear Lake is 9 miles SW of the PCT on Hwy 18.
-----
NOTE: Big Bear Lake and Big Bear City are 2 towns about 5 miles apart, each with a Post Office. Be sure to use the correct Post Office if you send a package.
-----
Big Bear Lake Post Office [open M-F 8:30-5, Sa 10-12]: 
(Your Name)
c/o General Delivery
Big Bear Lake, CA 92315
-----
Big Bear Lake is a very common PCT resupply stop. Big Bear Lake resupply shopping rating: A",34.2440587,-116.91018,266.118048
Big Bear City,"Big Bear City [5.4 SW] is a town with restaurants, motels, small grocery, Post Office [909-585-7132], ATMs, and bus service [mountaintransit.org  909-878-5200]. 5.4 miles SW of the PCT on Hwy 18.
-----
NOTE: Big Bear Lake and Big Bear City are 2 towns about 5 miles apart, each with a Post Office. Be sure to use the correct post office if you send a package.
-----
Big Bear City Post Office [open M-F 9-4:30, Sa pickup only 1-2]: 
(Your Name)
c/o General Delivery
Big Bear City, CA 92314",34.2505442,-116.7914445,266.118049
Wrightwood,"Wrightwood [5.5 mi E] is a small hiker-friendly town with restaurants, motels, large grocery store [Jensen's Food], hiker-friendly hardware store, Post Office [760-249-8882], ATMs, and library. Wrightwood is 5.5 miles E of the PCT on Hwy 2 or 3.6 miles N of the PCT via the steep Acorn trail back at PCT mile 363.4.
-----
Wrightwood Post Office [open M-F 8:45-5]:
(Your Name)
c/o General Delivery
Wrightwood, CA 92397
-----
The Mountain Hardware store [mtnhardware.com 760-249-3653] accepts hiker packages.
-----
Mountain Hardware USPS:
PCT Hiker (Your Name)
c/o Mountain Hardware
PO Box 398
Wrightwood, CA 92397
---
Mountain Hardware UPS:
PCT Hiker (Your Name)
c/o Mountain Hardware
1390 Hwy 2
Wrightwood, CA 92397
-----
Wrightwood is a very common PCT resupply stop. Resupply shopping rating: B+",34.3556399,-117.6291741,369.40454
Agua Dulce,"Agua Dulce is a small town on the PCT with restaurants, and ATM. The PCT follows the road through the center of Agua Dulce. 
-----
Resupply packages can be sent to the Los Angeles RV Resort (formerly Acton KOA) [10 miles S]. The grocery store in Agua Dulce has closed. Legendary Hiker Heaven Hostel [AKA the Saufley's] has been converted into an AirBnB guesthouse, so don't send packages here. See hikerheaven.com for latest info.",34.4963817,-118.3256348,454.5
Lake Hughes,"Lake Hughes [2.1 mi N] is a small community with a small store, ATM, the Historic Rock Inn [historicrockinn.com 661-724-1855], a popular restaurant that has 3 motel rooms, and a Post Office [661-724-9281]. 2.1 miles N of the PCT on Lake Hughes Road.
-----
Lake Hughes Post Office [open M-F 8-12:30 & 1:30-5]: 
(Your Name)
c/o General Delivery
Lake Hughes, CA 93532",34.6719533,-118.4370715,485.738997
Tehachapi,"Tehachapi [9.2 mi W] is a town with restaurants, motels, large grocery stores [Albertsons, Save Mart], Walmart, several Dollar stores, pharmacy [Albertsons, Rite Aid, Walgreens], Post Office [661-822-0279], library, hospital [adventisthealth.org/tehachapi-valley/ 661-823-3000], laundry, ATMs, and Kerntransit.org bus service. 9.2 miles W of the PCT on Hwy 58.
-----
Tehachapi Post Office [open M-F 9-5, Sa 10-2]:
(Your Name)
c/o General Delivery
Tehachapi, CA 93581
-----
NOTE: From Tehachapi Pass 86 miles N to Walker Pass often is the driest section of the PCT. Expect several 30+ mile waterless sections and heavy packs.
-----
Tehachapi is a very common PCT resupply stop. Resupply shopping rating: A-",35.1321878,-118.4489739,566.44328
Mojave,"Mojave [11.5 mi E] is an small town with restaurants, motels, grocery [Stater Bros], Family Dollar, Post Office [661-824-3502], laundry, ATMs, and Kerntransit.org bus service. 11.5 miles E of the PCT on Hwy 58.
-----
Mojave Post Office [open M-F 9-1 & 2-4]:
(Your Name)
c/o General Delivery
Mojave, CA 93501
-----
NOTE: From Tehachapi Pass 86 miles N to Walker Pass often is the driest section of the PCT. Expect several 30+ mile waterless sections and heavy packs.
-----
Resupply shopping rating: B+",35.0109603,-118.1902833,566.44329
Onyx,"Onyx [17.7 mi W] is a very small community with a post office [760-378-2121], and the historic Onyx store [oldonyxstore.com 760-378-3299] with snacks, sandwiches, drinks, no overnight stays, and Kerntransit.org bus service [6-day/week]. Onyx store closes at 6 pm, food service may close earlier. 17.7 miles W of the PCT on Hwy 178.
-----
Onyx Post Office [open M-F 9-12 & 1-4]:
[Your Name]
c/o General Delivery
Onyx, CA 93255",35.687366,-118.1803584,653.19036
Lake Isabella,"Lake Isabella [37 mi W] is a small town with restaurants, motels, grocery store [Vons], Family Dollar, pharmacy [Rite Aid], Post Office [760-379-2553], laundry, ATMs, and Kerntransit.org bus service. 37 miles W of the PCT on Hwy 178.
-----
Lake Isabella Post Office [open M-F 10-4]
(Your Name)
c/o General Delivery
Lake Isabella, CA 93240
-----
Resupply shopping rating: B+",35.638333,-118.4844871,653.19037
Ridgecrest,"Ridgecrest [28 mi E] is a relatively large sprawling high desert town with restaurants, motels, large grocery stores [Albertsons, Stater Bros], Walmart, Dollar General, pharmacy [Albertsons, Rite Aid, Walgreens, Walmart], Post Office, hospital [rrh.org 760-446-3551], laundry, ATMs, and Kerntransit.org bus service. 10 miles E of the PCT on Hwy 178, then ~3 miles N of CA Hwy 14, then ~13 miles E on Hwy 178/Inyokern rd, then ~2 miles S on Business 395.
-----
Ridgecrest has become a somewhat common PCT resupply stop in the past few years, but transportation to/from may be difficult. Resupply shopping rating: A-",35.6206924,-117.672097,653.19038
Kennedy Meadows South,"Kennedy Meadows South [1/2 mi E] is a small hiker-friendly community with a small general store, restaurant, and outfitter. 1/2 mile E of the PCT on Sherman Pass Road. Most hikers will carry a bear canister 315 miles from Kennedy Meadows to Sonora Pass. The Kennedy Meadows area has no cell phone service but the General Store has a pay phone. Historically, there is sometimes a competitive vibe between the ﻿﻿Kennedy Meadows store and Grumpy Bear's. Sadly, longtime Kennedy Meadows trail angel Tom Figueroa passed away in January 2021.
-----
Kennedy Meadows General Store [kennedymeadowsgeneralstore.com 559-850-5647] has a store, grill, laundry, showers, pay phone, and hiker camping out back. The store accepts hiker resupply packages [$]. 
-----
For the Kennedy Meadows General Store send resupply packages by UPS or USPS, Include ETA on your package.
(Your Name)
c/o Kennedy Meadows General Store
96740 Beach Meadow Road
Inyokern, CA 93527
-----
Grumpy Bears Retreat & Triple Crown Outfitter are about 2 miles SE of the General Store. Grumpy Bears [grumpybearsretreat.com 559-850-2327] is a restaurant and bar serving food, beer & wine, WiFi[$], hot showers, laundry, hiker camping and they accept hiker resupply boxes.
----
Grumpy Bear's Retreat accepts hiker packages, any mailing method, no holding fee. Include ETA on your package. In addition to the address, it's a good idea to write in great big letters DELIVER TO GRUMPY BEARS. Mail sometimes gets mis-delivered in Kennedy Meadows.
(Your Name)
c/o Grumpy Bear's Retreat
98887 Kennedy Meadows Road
Inyokern, CA 93527
-----
Triple Crown Outfitter [triplecrownoutfitters.com 559-302-9943] is an outfitter run by hiker and guidebook author Yogi, located across the road from Grumpy Bear's. They offer full hiker resupply, including good food selection, bear canisters, ice axes, spikes, clothing, shoes, free WiFi.
-----
The Kennedy Meadows area is a very common PCT resupply stop. Most hikers send a box here, but Triple Crown Outfitters gets good hiker resupply reviews and I will give them a try on my next hike. -HM",35.0940347,-81.676523,703.41875
Lone Pine,"Lone Pine [22 mi E] is a small town with a restaurants, motels, grocery store, outfitter [SierraElevation.com 760-876-4560], pharmacy, Post Office [760-876-5681], hospital [sihd.org 760-876-5501], laundry, ATMs, and bus service [weekdays only, estransit.com]. Lone Pine is accessible from Mulkey Pass, Trail Pass, Cottonwood Pass or Crabtree Meadow.
-----
Lone Pine Post Office [open M-F 9:30-12:30 & 1:30-4:30]:
(Your Name)
c/o General Delivery
Lone Pine, CA 93545
-----
Lone Pine is a common PCT hiker resupply stop. Resupply shopping rating: B-",36.583176,-118.0783265,745.70326
Independence,"Independence [20.6 mi E] is a small town with restaurants, motels, gas station mini-mart, ATM, Post Office [760-878-2210], and ESTransit.com bus. Independence is accessible by hiking 7.6 miles E over Kearsarge Pass [11,712 feet] to Onion Valley, then take the paved road 13 miles E to Independence.
-----
Independence Post Office [open M-F 9:30-12:45 & 1:15-4]:
(Your Name)
c/o General Delivery
Independence, CA 93526
-----
Hikers will ship a box here, or take the bus to Lone Pine or Bishop for supplies.",36.821987,-118.2051294,790.27075
